id,Geographic Area Name,Mean Income in Past 12 Months
48001,"Anderson County, Texas",16677
48003,"Andrews County, Texas",5573
48005,"Angelina County, Texas",31035
48007,"Aransas County, Texas",9548
48009,"Archer County, Texas",3452
48011,"Armstrong County, Texas",694
48013,"Atascosa County, Texas",15546
48015,"Austin County, Texas",11301
48017,"Bailey County, Texas",2054
48019,"Bandera County, Texas",8399
48021,"Bastrop County, Texas",25571
48023,"Baylor County, Texas",1530
48025,"Bee County, Texas",8269
48027,"Bell County, Texas",122689
48029,"Bexar County, Texas",636245
48031,"Blanco County, Texas",4343
48033,"Borden County, Texas",227
48035,"Bosque County, Texas",7211
48037,"Bowie County, Texas",34076
48039,"Brazoria County, Texas",121523
48041,"Brazos County, Texas",79412
48043,"Brewster County, Texas",4088
48045,"Briscoe County, Texas",602
48047,"Brooks County, Texas",2120
48049,"Brown County, Texas",14409
48051,"Burleson County, Texas",6810
48053,"Burnet County, Texas",16743
48055,"Caldwell County, Texas",13460
48057,"Calhoun County, Texas",7582
48059,"Callahan County, Texas",5367
48061,"Cameron County, Texas",124605
48063,"Camp County, Texas",4605
48065,"Carson County, Texas",2288
48067,"Cass County, Texas",11934
48069,"Castro County, Texas",2532
48071,"Chambers County, Texas",14069
48073,"Cherokee County, Texas",18138
48075,"Childress County, Texas",2407
48077,"Clay County, Texas",4105
48079,"Cochran County, Texas",998
48081,"Coke County, Texas",1644
48083,"Coleman County, Texas",3423
48085,"Collin County, Texas",341163
48087,"Collingsworth County, Texas",1035
48089,"Colorado County, Texas",7450
48091,"Comal County, Texas",51367
48093,"Comanche County, Texas",5487
48095,"Concho County, Texas",912
48097,"Cooke County, Texas",15351
48099,"Coryell County, Texas",22322
48101,"Cottle County, Texas",707
48103,"Crane County, Texas",1421
48105,"Crockett County, Texas",1354
48107,"Crosby County, Texas",2061
48109,"Culberson County, Texas",580
48111,"Dallam County, Texas",2364
48113,"Dallas County, Texas",928341
48115,"Dawson County, Texas",4322
48117,"Deaf Smith County, Texas",6145
48119,"Delta County, Texas",1999
48121,"Denton County, Texas",290229
48123,"DeWitt County, Texas",7048
48125,"Dickens County, Texas",845
48127,"Dimmit County, Texas",3148
48129,"Donley County, Texas",1335
48131,"Duval County, Texas",3511
48133,"Eastland County, Texas",6492
48135,"Ector County, Texas",52530
48137,"Edwards County, Texas",789
48139,"Ellis County, Texas",57307
48141,"El Paso County, Texas",268310
48143,"Erath County, Texas",13595
48145,"Falls County, Texas",5199
48147,"Fannin County, Texas",12453
48149,"Fayette County, Texas",9135
48151,"Fisher County, Texas",1601
48153,"Floyd County, Texas",2271
48155,"Foard County, Texas",533
48157,"Fort Bend County, Texas",237883
48159,"Franklin County, Texas",3965
48161,"Freestone County, Texas",6758
48163,"Frio County, Texas",4542
48165,"Gaines County, Texas",5812
48167,"Galveston County, Texas",121438
48169,"Garza County, Texas",1543
48171,"Gillespie County, Texas",10694
48173,"Glasscock County, Texas",403
48175,"Goliad County, Texas",2727
48177,"Gonzales County, Texas",7364
48179,"Gray County, Texas",7884
48181,"Grayson County, Texas",48454
48183,"Gregg County, Texas",45460
48185,"Grimes County, Texas",9011
48187,"Guadalupe County, Texas",54110
48189,"Hale County, Texas",10933
48191,"Hall County, Texas",1267
48193,"Hamilton County, Texas",2989
48195,"Hansford County, Texas",1838
48197,"Hardeman County, Texas",1596
48199,"Hardin County, Texas",20626
48201,"Harris County, Texas",1605368
48203,"Harrison County, Texas",23292
48205,"Hartley County, Texas",1678
48207,"Haskell County, Texas",2146
48209,"Hays County, Texas",73437
48211,"Hemphill County, Texas",1298
48213,"Henderson County, Texas",30757
48215,"Hidalgo County, Texas",238345
48217,"Hill County, Texas",12992
48219,"Hockley County, Texas",7997
48221,"Hood County, Texas",22152
48223,"Hopkins County, Texas",13424
48225,"Houston County, Texas",8252
48227,"Howard County, Texas",11064
48229,"Hudspeth County, Texas",978
48231,"Hunt County, Texas",33189
48233,"Hutchinson County, Texas",6929
48235,"Irion County, Texas",682
48237,"Jack County, Texas",3168
48239,"Jackson County, Texas",4917
48241,"Jasper County, Texas",12936
48243,"Jeff Davis County, Texas",1054
48245,"Jefferson County, Texas",92988
48247,"Jim Hogg County, Texas",1626
48249,"Jim Wells County, Texas",12987
48251,"Johnson County, Texas",57310
48253,"Jones County, Texas",5696
48255,"Karnes County, Texas",4282
48257,"Kaufman County, Texas",38015
48259,"Kendall County, Texas",14253
48261,"Kenedy County, Texas",197
48263,"Kent County, Texas",273
48265,"Kerr County, Texas",21403
48267,"Kimble County, Texas",1783
48269,"King County, Texas",77
48271,"Kinney County, Texas",1337
48273,"Kleberg County, Texas",10955
48275,"Knox County, Texas",1375
48277,"Lamar County, Texas",19793
48279,"Lamb County, Texas",4728
48281,"Lampasas County, Texas",7807
48283,"La Salle County, Texas",2269
48285,"Lavaca County, Texas",7826
48287,"Lee County, Texas",6036
48289,"Leon County, Texas",6443
48291,"Liberty County, Texas",26873
48293,"Limestone County, Texas",8377
48295,"Lipscomb County, Texas",1192
48297,"Live Oak County, Texas",3752
48299,"Llano County, Texas",8678
48301,"Loving County, Texas",30
48303,"Lubbock County, Texas",113488
48305,"Lynn County, Texas",2154
48307,"McCulloch County, Texas",3143
48309,"McLennan County, Texas",90054
48311,"McMullen County, Texas",270
48313,"Madison County, Texas",4269
48315,"Marion County, Texas",4715
48317,"Martin County, Texas",1694
48319,"Mason County, Texas",1696
48321,"Matagorda County, Texas",13848
48323,"Maverick County, Texas",16286
48325,"Medina County, Texas",15682
48327,"Menard County, Texas",1014
48329,"Midland County, Texas",56998
48331,"Milam County, Texas",9228
48333,"Mills County, Texas",1790
48335,"Mitchell County, Texas",2382
48337,"Montague County, Texas",7800
48339,"Montgomery County, Texas",198649
48341,"Moore County, Texas",6733
48343,"Morris County, Texas",5117
48345,"Motley County, Texas",489
48347,"Nacogdoches County, Texas",23757
48349,"Navarro County, Texas",17338
48351,"Newton County, Texas",5315
48353,"Nolan County, Texas",5407
48355,"Nueces County, Texas",129451
48357,"Ochiltree County, Texas",3483
48359,"Oldham County, Texas",594
48361,"Orange County, Texas",31694
48363,"Palo Pinto County, Texas",10255
48365,"Panola County, Texas",8637
48367,"Parker County, Texas",44263
48369,"Parmer County, Texas",3203
48371,"Pecos County, Texas",4656
48373,"Polk County, Texas",18033
48375,"Potter County, Texas",44380
48377,"Presidio County, Texas",2543
48379,"Rains County, Texas",4330
48381,"Randall County, Texas",49389
48383,"Reagan County, Texas",1084
48385,"Real County, Texas",1126
48387,"Red River County, Texas",4963
48389,"Reeves County, Texas",3518
48391,"Refugio County, Texas",2547
48393,"Roberts County, Texas",301
48395,"Robertson County, Texas",6444
48397,"Rockwall County, Texas",33032
48399,"Runnels County, Texas",3896
48401,"Rusk County, Texas",18108
48403,"Sabine County, Texas",4311
48405,"San Augustine County, Texas",3451
48407,"San Jacinto County, Texas",10043
48409,"San Patricio County, Texas",22898
48411,"San Saba County, Texas",2082
48413,"Schleicher County, Texas",1075
48415,"Scurry County, Texas",5941
48417,"Shackelford County, Texas",1317
48419,"Shelby County, Texas",9293
48421,"Sherman County, Texas",1019
48423,"Smith County, Texas",77678
48425,"Somervell County, Texas",3123
48427,"Starr County, Texas",16188
48429,"Stephens County, Texas",3247
48431,"Sterling County, Texas",458
48433,"Stonewall County, Texas",580
48435,"Sutton County, Texas",1412
48437,"Swisher County, Texas",2505
48439,"Tarrant County, Texas",708252
48441,"Taylor County, Texas",49868
48443,"Terrell County, Texas",418
48445,"Terry County, Texas",4061
48447,"Throckmorton County, Texas",668
48449,"Titus County, Texas",10893
48451,"Tom Green County, Texas",43314
48453,"Travis County, Texas",472361
48455,"Trinity County, Texas",6030
48457,"Tyler County, Texas",7100
48459,"Upshur County, Texas",14108
48461,"Upton County, Texas",1332
48463,"Uvalde County, Texas",8841
48465,"Val Verde County, Texas",15779
48467,"Van Zandt County, Texas",20156
48469,"Victoria County, Texas",32255
48471,"Walker County, Texas",21963
48473,"Waller County, Texas",15171
48475,"Ward County, Texas",3978
48477,"Washington County, Texas",12625
48479,"Webb County, Texas",74789
48481,"Wharton County, Texas",15199
48483,"Wheeler County, Texas",2183
48485,"Wichita County, Texas",48356
48487,"Wilbarger County, Texas",5180
48489,"Willacy County, Texas",5782
48491,"Williamson County, Texas",180160
48493,"Wilson County, Texas",15733
48495,"Winkler County, Texas",2619
48497,"Wise County, Texas",22369
48499,"Wood County, Texas",16510
48501,"Yoakum County, Texas",2617
48503,"Young County, Texas",7307
48505,"Zapata County, Texas",4503
48507,"Zavala County, Texas",3571
