id,Geographic Area Name,Foreign born with Bachelor's degree,Total Bachelor's degree
1,Alabama,23342,529178
2,Alaska,8888,88058
4,Arizona,108854,869452
5,Arkansas,13433,297250
6,California,1690778,5603047
8,Colorado,76111,981017
9,Connecticut,84482,541380
10,Delaware,14181,124632
11,District of Columbia,16112,122380
12,Florida,681416,2827938
13,Georgia,175161,1324801
15,Hawaii,45099,215777
16,Idaho,9192,207179
17,Illinois,297905,1831438
18,Indiana,46200,749078
19,Iowa,18332,403801
20,Kansas,23871,400938
21,Kentucky,22982,428846
22,Louisiana,23905,490514
23,Maine,7742,194761
24,Maryland,165513,891511
25,Massachusetts,177603,1151870
26,Michigan,115465,1207829
27,Minnesota,69558,892893
28,Mississippi,8452,269736
29,Missouri,38890,745843
30,Montana,4239,155230
31,Nebraska,13727,262614
32,Nevada,77363,330222
33,New Hampshire,15525,218013
34,New Jersey,400217,1489653
35,New Mexico,16227,215662
36,New York,706923,2799878
37,North Carolina,120971,1395214
38,North Dakota,4771,107938
39,Ohio,92759,1401609
40,Oklahoma,24082,436601
41,Oregon,56204,603359
42,Pennsylvania,151363,1701365
44,Rhode Island,17536,150150
45,South Carolina,36245,614156
46,South Dakota,3649,113870
47,Tennessee,48597,789448
48,Texas,611921,3534714
49,Utah,34844,410803
50,Vermont,5211,99016
51,Virginia,206770,1272608
53,Washington,183840,1144545
54,West Virginia,5070,159196
55,Wisconsin,37988,780824
56,Wyoming,2207,68269
